cell,species,cell_types,genes,genome
609,Phyllothalliaceae_609,30,,
610,Pelliaceae_610,30,,
611,Noterocladaceae_611,30,,
612,Calyculariaceae_612,30,,
613,Schistochilaceae_613,30,,
614,Myliaceae_614,30,,
615,Arnelliaceae_615,30,,
616,Calypogeiaceae_616,30,,
617,Notoscyphaceae_617,30,,
618,Southbyaceae_618,30,,
619,Gymnomitriaceae_619,30,,
620,Gymnomitriaceae_620,30,,
621,Solenostomataceae_621,30,,
622,Jackiellaceae_622,30,,
623,Jungermanniaceae_623,30,,
624,Geocalycaceae_624,30,,
625,Antheliaceae_625,30,,
626,Gyrothyraceae_626,30,,
627,Harpanthaceae_627,30,,
628,Saccogynaceae_628,30,,
629,Blepharidophyllaceae_629,30,,
630,Trichotemnomataceae_630,30,,
631,Balantiopsidaceae_631,30,,
632,Acrobolbaceae_632,30,,
633,Adelanthaceae_633,30,,
634,Cephaloziellaceae_634,30,,
635,Cephaloziellaceae_635,30,,
636,Lophoziaceae_636,30,,
637,Scapaniaceae_637,30,,
638,Anastrophyllaceae_638,30,,
639,Cephaloziaceae_639,30,,
640,Blepharostomataceae_640,30,,
641,Pseudolepicoleaceae_641,30,,
642,Lophocoleaceae_642,30,,
643,Brevianthaceae_643,30,,
644,Plagiochilaceae_644,30,,
645,Mastigophoraceae_645,30,,
646,Herbertaceae_646,30,,
647,Lepicoleaceae_647,30,,
648,Lepidoziaceae_648,30,,
649,Trichocoleaceae_649,30,,
650,Porellaceae_650,30,,
651,Radulaceae_651,30,,
652,Frullaniaceae_652,30,,
653,Lejeuneaceae_653,30,,
654,Jubulaceae_654,30,,
655,Goebeliellaceae_655,30,,
656,Lepidolaenaceae_656,30,,
657,Herzogianthaceae_657,30,,
658,Ptilidiaceae_658,30,,
659,Neotrichocoleaceae_659,30,,
660,Aneuraceae_660,30,,
661,Metzgeriaceae_661,30,,
662,Pleuroziaceae_662,30,,
663,Neohodgsoniaceae_663,20,,
664,Lunulariaceae_664,20,,
665,Marchantiaceae_665,30,,
